"","Date","Day","Position","Mark","Sex","Tank","Group","Trial","Fish_ID","Notes","tot_dist","mean_velocity","velocity_sd","velocity_se","high_freq","high_duration","mid_freq","mid_duration","low_freq","low_duration","low_mid_high_trans","high_mid_low_trans","freezing_freq","freezing_dur","tot_duration","Weight(g)"
"273","2/08/2019","Friday","6","Whi.Pur","female","HA_C1","Control","24","a7376",NA,1534.27,3.41009,2.25683,0.0300938,0,0,0,0,1,450,0,0,14,1.52,450,0.548
"274","19/08/2019","Monday","2","Whi.Pur","female","HA_C1","Control","9","a7376",NA,1833.35,4.07484,2.75431,0.0367275,8,35.6,16,35.84,9,378.56,7,6,3,0.24,450,0.548
"275","11/09/2019","Wednesday","6","Whi.Pur","female","HA_C1","Control","20","a7376",NA,2105.28,4.67924,3.62739,0.0483695,17,51.44,35,74.88,19,323.68,9,8,12,1.12,450,0.548
"276","2/08/2019","Friday","3","Ora.Ora","female","HA_T1","Treatment","2","a7379",NA,1431.48,3.18163,3.45964,0.0461327,4,13.36,22,33.04,18,403.6,2,4,34,43.2,450,0.633
"277","19/08/2019","Monday","4","Ora.Ora","female","HA_T1","Treatment","12","a7379",NA,1889.13,4.19881,3.29482,0.0439348,18,70.64,38,84.32,21,295.04,10,10,12,1.6,450,0.633
"278","11/09/2019","Wednesday","3","Ora.Ora","female","HA_T1","Treatment","14","a7379",NA,297.711,0.661698,1.34498,0.0179346,0,0,1,0.32,2,449.68,0,0,67,232.8,450,0.633
"279","2/08/2019","Friday","4","Ora.Bla","male","HA_C1","Control","24","a7403",NA,1118.3,2.48555,1.57125,0.0209519,0,0,0,0,1,450,0,0,17,2.96,450,0.421
"280","19/08/2019","Monday","1","Ora.Bla","male","HA_C1","Control","10","a7403",NA,268.244,0.596204,1.26069,0.0168107,0,0,0,0,1,450,0,0,19,324.88,450,0.421
"281","11/09/2019","Wednesday","5","Ora.Bla","male","HA_C1","Control","20","a7403",NA,110.824,0.246319,0.90144,0.0120203,0,0,0,0,1,450,0,0,9,404.16,450,0.421
"282","2/08/2019","Friday","2","Ora.Pin","male","HA_C2","Control","5","a7408",NA,1712.5,3.80623,2.39034,0.031874,0,0,12,41.76,13,408.24,0,0,5,0.4,450,0.403
