Mark,Sex,Fish_ID,Tank,Treatment_Tank,Weight(g),Fish_Length_cm,BMI,K Index,Date,Week,Age_Days,Notes
Blu.Yel,female,a6881,HA_C2,Control,0.402,2.948,0.046256322,,30/05/2019,2,126,
Ora.Bro,male,a6967,HA_C2,Control,0.285,3.067,0.030298233,,30/05/2019,2,126,
Blu.Blu,male,a7006,HA_C2,Control,0.214,2.573,0.032324678,,30/05/2019,2,126,
Pur._,male,a7056,HA_C2,Control,0.218,2.666,0.030671584,,30/05/2019,2,126,
Red.Pin,male,a7096,HA_C2,Control,0.282,2.871,0.034212336,,30/05/2019,2,126,
Ora.Yel,male,a7153,HA_C2,Control,0.222,2.694,0.030588473,,30/05/2019,2,126,
Pur.Blu,male,a7163,HA_C2,Control,0.337,3.197,0.03297195,,30/05/2019,2,126,
Blu.Ora,female,a7204,HA_C2,Control,0.45,3.146,0.045466872,,30/05/2019,2,126,
_.Whi,male,a7250,HA_C2,Control,0.295,2.89,0.035320458,,30/05/2019,2,126,
Pin.Bro,female,a7284,HA_C2,Control,0.368,3.165,0.036736721,,30/05/2019,2,126,
Yel.Bla,male,a7336,HA_C2,Control,0.279,2.79,0.035842294,,30/05/2019,2,126,
Whi.Yel,male,a7370,HA_C2,Control,0.276,2.795,0.035330148,,30/05/2019,2,126,
Ora.Pin,male,a7408,HA_C2,Control,0.284,2.863,0.034647798,,30/05/2019,2,126,
Red.Bro,male,a7474,HA_C2,Control,0.204,2.597,0.030247276,,30/05/2019,2,126,
Ora.Ora,female,a7486,HA_C2,Control,0.376,3.046,0.040525469,,30/05/2019,2,126,
_.Pin,female,a7549,HA_C2,Control,0.28,2.808,0.035511075,,30/05/2019,2,126,
Bro.Bro,male,a7573,HA_C2,Control,0.204,2.587,0.030481568,,30/05/2019,2,126,
_.Bla,male,a7600,HA_C2,Control,0.317,2.894,0.03784968,,30/05/2019,2,126,
_._,female,a7658,HA_C2,Control,0.28,2.77,0.036492069,,30/05/2019,2,126,
Gre.Gre,male,a7688,HA_C2,Control,0.272,2.707,0.037118669,,30/05/2019,2,126,
Bro.Pur,male,a7729,HA_C2,Control,0.331,3.059,0.035372768,,30/05/2019,2,126,Colours could be inverted (Pur.Bro)
Red._,female,a8064,HA_C2,Control,0.301,2.874,0.036441225,,30/05/2019,2,126,
Blu.Pur,female,a6813,HA_C3,Control,0.358,2.758,0.047064614,,30/05/2019,2,126,
Pin.Gre,female,a6845,HA_C3,Control,0.329,2.797,0.042054354,,30/05/2019,2,126,
Blu.Gre,female,a6885,HA_C3,Control,0.328,2.666,0.046148071,,30/05/2019,2,126,
Bla.Bla,female,a6929,HA_C3,Control,0.321,2.663,0.045265018,,30/05/2019,2,126,"one black spot left, two on right"
Red.Gre,male,a6990,HA_C3,Control,0.25,2.659,0.035359274,,30/05/2019,2,126,
Gre._,male,a7017,HA_C3,Control,0.267,2.705,0.03649024,,30/05/2019,2,126,
Red.Yel,male,a7048,HA_C3,Control,0.211,2.517,0.033305505,,30/05/2019,2,126,
Red.Pur,female,a7093,HA_C3,Control,0.364,2.889,0.04361203,,30/05/2019,2,126,
Bla.Red,male,a7144,HA_C3,Control,0.297,2.79,0.0381547,,30/05/2019,2,126,
_.Pur,male,a7168,HA_C3,Control,0.183,2.514,0.028954798,,30/05/2019,2,126,
Whi.Pin,female,a7232,HA_C3,Control,0.454,3.109,0.046969335,,30/05/2019,2,126,
Whi.Ora,male,a7264,HA_C3,Control,0.255,2.545,0.039369927,,30/05/2019,2,126,
_.Pin,female,a7279,HA_C3,Control,0.401,2.76,0.052641252,,30/05/2019,2,126,
Red.Whi,female,a7322,HA_C3,Control,0.324,2.619,0.047236098,,30/05/2019,2,126,Whi on same side
Bro.Ora,male,a7361,HA_C3,Control,0.311,2.762,0.040767402,,30/05/2019,2,126,
Ora.Bro,male,a7407,HA_C3,Control,0.377,3.169,0.037540225,,30/05/2019,2,126,
Red.Blu,male,a7466,HA_C3,Control,0.221,2.472,0.036165572,,30/05/2019,2,126,
Red.Red,female,a7497,HA_C3,Control,0.278,2.753,0.036680257,,30/05/2019,2,126,
Pin.Blu,female,a7552,HA_C3,Control,0.324,2.585,0.048486844,,30/05/2019,2,126,
Red.Bro,male,a7564,HA_C3,Control,0.249,2.479,0.040517841,,30/05/2019,2,126,
Red._,male,a7611,HA_C3,Control,0.249,2.647,0.035537876,,30/05/2019,2,126,
Bla.Blu,female,a7660,HA_C3,Control,0.355,2.757,0.04670408,,30/05/2019,2,126,"very difficult to distinguish from bla.bla, may need to switch"
Gre.Pin,female,a7679,HA_C3,Control,0.328,2.646,0.046848335,,30/05/2019,2,126,
Pur._,male,a7730,HA_C3,Control,0.244,2.504,0.038915371,,30/05/2019,2,126,
_.Yel,male,a6807,HA_C4,Control,0.252,2.903,0.029902429,,30/05/2019,2,126,
_.Pin,male,a6839,HA_C4,Control,0.261,2.925,0.030506246,,30/05/2019,2,126,
Blu.Whi,male,a6884,HA_C4,Control,0.296,2.929,0.034502691,,30/05/2019,2,126,
Pur._,female,a6930,HA_C4,Control,0.312,2.864,0.038037202,,30/05/2019,2,126,
Gre.Yel,female,a6971,HA_C4,Control,0.376,2.99,0.042057695,,30/05/2019,2,126,
_.Gre,female,a7020,HA_C4,Control,0.284,2.731,0.038078071,,30/05/2019,2,126,
_.Ora,female,a7059,HA_C4,Control,0.395,3,0.043888889,,30/05/2019,2,126,
Red.Gre,female,a7090,HA_C4,Control,0.344,3.009,0.037993917,,30/05/2019,2,126,
Whi.Ora,male,a7184,HA_C4,Control,0.254,2.782,0.032818556,,30/05/2019,2,126,
Blu.Bla,female,a7201,HA_C4,Control,0.307,2.745,0.040743063,,30/05/2019,2,126,
Whi.Pur,female,a7259,HA_C4,Control,0.221,2.593,0.032869057,,30/05/2019,2,126,
Pin.Red,male,a7286,HA_C4,Control,0.288,3.01,0.031787729,,30/05/2019,2,126,very small red dot
Bro._,female,a7367,HA_C4,Control,0.376,2.854,0.046161499,,30/05/2019,2,126,
Yel.Yel,female,a7418,HA_C4,Control,0.339,2.857,0.041531653,,30/05/2019,2,126,
Bro.Whi,female,a7438,HA_C4,Control,0.36,2.925,0.042077581,,30/05/2019,2,126,
Ora.Gre,male,a7492,HA_C4,Control,0.201,2.449,0.0335134,,30/05/2019,2,126,might be injured
_.Pur,male,a7539,HA_C4,Control,0.203,2.499,0.032506,,30/05/2019,2,126,replacement fish 17/5/19
Pur.Red,female,a7578,HA_C4,Control,0.28,2.798,0.035765361,,30/05/2019,2,126,
Bla.Bla,female,a7601,HA_C4,Control,0.417,2.96,0.047594047,,30/05/2019,2,126,
Whi.Whi,male,a7661,HA_C4,Control,0.277,2.795,0.035458156,,30/05/2019,2,126,could be male
Pin.Blu,male,a7696,HA_C4,Control,0.26,2.695,0.035797756,,30/05/2019,2,126,
Pur.Blu,male,a7737,HA_C4,Control,0.233,2.577,0.035085453,,30/05/2019,2,126,very small blu dot
Pin.Bla,female,a8045,HA_C4,Control,0.289,2.902,0.034316503,,30/05/2019,2,126,
Yel.Pin,male,a8066,HA_C4,Control,0.25,2.796,0.031979059,,30/05/2019,2,126,
Bla._,female,a6800,HA_C5,Control,0.186,2.408,0.032077461,,30/05/2019,2,126,
Pin.Blu,male,a6843,HA_C5,Control,0.263,2.786,0.03388391,,30/05/2019,2,126,
Red.Gre,female,a6895,HA_C5,Control,0.271,2.759,0.035601303,,30/05/2019,2,126,looks female
Ora.Yel,female,a6966,HA_C5,Control,0.304,2.924,0.035556487,,30/05/2019,2,126,
Gre.Pin,male,a7013,HA_C5,Control,0.274,2.686,0.037978565,,30/05/2019,2,126,looks male
Red.Pin,female,a7044,HA_C5,Control,0.348,3.084,0.036588997,,30/05/2019,2,126,
Bro.Whi,female,a7088,HA_C5,Control,0.164,2.429,0.027796417,,30/05/2019,2,126,
Gre.Bro,male,a7124,HA_C5,Control,0.199,2.716,0.026976993,,30/05/2019,2,126,
Blu.Red,female,a7200,HA_C5,Control,0.294,2.76,0.038594833,,30/05/2019,2,126,
Bro.Bla,male,a7242,HA_C5,Control,0.269,2.856,0.032978878,,30/05/2019,2,126,bro small dot; looks male
Pin.Pur,female,a7285,HA_C5,Control,0.357,2.829,0.044606929,,30/05/2019,2,126,female
Yel.Ora,male,a7335,HA_C5,Control,0.229,2.644,0.032757638,,30/05/2019,2,126,
_._,female,a7381,HA_C5,Control,0.325,2.732,0.043543363,,30/05/2019,2,126,replacement fish 17/5/19
Pur._,female,a7415,HA_C5,Control,0.311,2.989,0.034810364,,30/05/2019,2,126,
_.Blu,female,a7440,HA_C5,Control,0.38,3.04,0.041118421,,30/05/2019,2,126,
_.Red,male,a7496,HA_C5,Control,0.288,2.839,0.03573236,,30/05/2019,2,126,
Pur.Pur,female,a7540,HA_C5,Control,0.212,2.498,0.033974337,,30/05/2019,2,126,
Red.Whi,female,a7559,HA_C5,Control,0.264,2.606,0.038873631,,30/05/2019,2,126,
Bla.Blu,female,a7607,HA_C5,Control,0.301,2.697,0.041381345,,30/05/2019,2,126,
Whi.Gre,female,a7647,HA_C5,Control,0.256,2.755,0.033728479,,30/05/2019,2,126,
Gre.Bla,male,a7687,HA_C5,Control,0.25,2.646,0.035707573,,30/05/2019,2,126,
_.Pur,male,a7731,HA_C5,Control,0.24,2.635,0.03456607,,30/05/2019,2,126,
_.Pin,male,a8043,HA_C5,Control,0.213,2.768,0.027800169,,30/05/2019,2,126,
Red.Ora,female,a8061,HA_C5,Control,0.3,2.798,0.038320029,,30/05/2019,2,126,looks female
_.Pur,female,a6825,HA_T1,Treatment,0.463,3.097,0.048272365,,31/05/2019,2,126,
Pin.Whi,female,a6846,HA_T1,Treatment,0.387,2.95,0.04446998,,31/05/2019,2,126,
Red.Pin,female,a6894,HA_T1,Treatment,0.432,3.041,0.046714414,,31/05/2019,2,126,
Bla.Pur,female,a6925,HA_T1,Treatment,0.428,3.211,0.041510996,,31/05/2019,2,126,
Red.Whi,male,a6991,HA_T1,Treatment,0.3,3.033,0.032611925,,31/05/2019,2,126,
Blu.Whi,male,a6998,HA_T1,Treatment,0.297,2.812,0.03756002,,31/05/2019,2,126,
Ora.Pur,male,a7062,HA_T1,Treatment,0.347,3.088,0.0363894,,31/05/2019,2,126,
Bro.Yel,female,a7087,HA_T1,Treatment,0.385,3.089,0.040348269,,31/05/2019,2,126,
Ora._,male,a7155,HA_T1,Treatment,0.289,3.042,0.031230535,,31/05/2019,2,126,
Bla.Blu,male,a7173,HA_T1,Treatment,0.304,2.808,0.038554882,,31/05/2019,2,126,"small blu dot, swimming awkwardly ?"
Blu.Yel,female,a7206,HA_T1,Treatment,0.348,3,0.038666667,,31/05/2019,2,126,
_.Whi,male,a7269,HA_T1,Treatment,0.226,2.744,0.03001513,,31/05/2019,2,126,
Gre.Gre,female,a7292,HA_T1,Treatment,0.345,2.838,0.04283456,,31/05/2019,2,126,
_.Red,female,a7319,HA_T1,Treatment,0.364,2.734,0.048697242,,31/05/2019,2,126,
Whi.Bla,female,a7374,HA_T1,Treatment,0.391,2.874,0.047337272,,31/05/2019,2,126,female
Ora.Ora,male,a7412,HA_T1,Treatment,0.34,3.032,0.036984566,,31/05/2019,2,126,
Red.Red,male,a7468,HA_T1,Treatment,0.304,2.864,0.037061889,,31/05/2019,2,126,
Ora.Pin,female,a7488,HA_T1,Treatment,0.377,3.054,0.040420649,,31/05/2019,2,126,
Pin.Pin,female,a7550,HA_T1,Treatment,0.405,2.983,0.045514368,,31/05/2019,2,126,
Red.Pur,male,a7560,HA_T1,Treatment,0.256,2.69,0.035378173,,31/05/2019,2,126,
Bla._,male,a7599,HA_T1,Treatment,0.278,2.775,0.036100966,,31/05/2019,2,126,
Bro.Bro,female,a7662,HA_T1,Treatment,0.468,3.083,0.049237819,,31/05/2019,2,126,
Pin.Bro,female,a7697,HA_T1,Treatment,0.466,2.931,0.054244321,,31/05/2019,2,126,
Bro.Whi,male,a7723,HA_T1,Treatment,0.257,2.699,0.035279901,,31/05/2019,2,126,
Pin.Pin,female,a6840,HA_T2,Treatment,0.52,3.385,0.045382247,,31/05/2019,2,126,
Blu.Ora,female,a6883,HA_T2,Treatment,0.475,3.119,0.048827317,,31/05/2019,2,126,
Pur.Pur,female,a6932,HA_T2,Treatment,0.5,3.169,0.049788097,,31/05/2019,2,126,
Red.Yel,male,a6987,HA_T2,Treatment,0.348,3.099,0.036235653,,31/05/2019,2,126,
Gre.Bla,male,a7015,HA_T2,Treatment,0.296,2.97,0.033556667,,31/05/2019,2,126,
Pin._,male,a7054,HA_T2,Treatment,0.287,3.021,0.031447089,,31/05/2019,2,126,
Red.Ora,female,a7089,HA_T2,Treatment,0.468,3.154,0.047045975,,31/05/2019,2,126,
Bla.Bro,male,a7142,HA_T2,Treatment,0.337,3.083,0.035455438,,31/05/2019,2,126,
Pur._,male,a7167,HA_T2,Treatment,0.253,2.718,0.034246928,,31/05/2019,2,126,
Red.Pur,female,a7222,HA_T2,Treatment,0.5,3.053,0.053643412,,31/05/2019,2,126,
Bro.Blu,male,a7251,HA_T2,Treatment,0.255,2.784,0.032900441,,31/05/2019,2,126,
Pin.Blu,female,a7288,HA_T2,Treatment,0.52,3.212,0.050402522,,31/05/2019,2,126,
Whi.Pin,male,a7375,HA_T2,Treatment,0.325,3.156,0.032629421,,31/05/2019,2,126,
Ora.Yel,male,a7411,HA_T2,Treatment,0.338,3.141,0.034259485,,31/05/2019,2,126,
Blu.Bla,male,a7461,HA_T2,Treatment,0.287,2.889,0.034386408,,31/05/2019,2,126,small black dot
Red._,female,a7495,HA_T2,Treatment,0.386,2.944,0.04453605,,31/05/2019,2,126,
Red.Red,male,a7570,HA_T2,Treatment,0.367,3.274,0.034238026,,31/05/2019,2,126,
Bla.Pin,female,a7604,HA_T2,Treatment,0.308,2.951,0.035368146,,31/05/2019,2,126,
Whi.Bro,female,a7649,HA_T2,Treatment,0.423,3.19,0.041567988,,31/05/2019,2,126,
Gre.Blu,female,a7684,HA_T2,Treatment,0.35,2.899,0.041645839,,31/05/2019,2,126,
Bro.Gre,male,a7724,HA_T2,Treatment,0.338,3.105,0.035058513,,31/05/2019,2,126,
Whi._,female,a8050,HA_T2,Treatment,0.432,2.975,0.048810112,,31/05/2019,2,126,
Yel.Gre,female,a8067,HA_T2,Treatment,0.4,3.134,0.040725086,,31/05/2019,2,126,
Ora.Pur,female,a8071,HA_T2,Treatment,0.365,2.989,0.040854607,,31/05/2019,2,126,
Bla.Blu,male,a6808,HA_T3,Treatment,0.318,3.143,0.032191288,,31/05/2019,2,126,looks male
Pin.Pur,male,a6842,HA_T3,Treatment,0.338,3.35,0.030118066,,31/05/2019,2,126,looks male
Yel.Pin,male,a6996,HA_T3,Treatment,0.326,2.952,0.037409758,,31/05/2019,2,126,
Gre.Gre,female,a7019,HA_T3,Treatment,0.452,3.049,0.048620966,,31/05/2019,2,126,acually female
Red.Bro,male,a7045,HA_T3,Treatment,0.296,2.888,0.035489292,,31/05/2019,2,126,
Red.Bla,female,a7091,HA_T3,Treatment,0.386,2.939,0.044687713,,31/05/2019,2,126,
Bla.Whi,male,a7139,HA_T3,Treatment,0.277,2.571,0.041905943,,31/05/2019,2,126,
Pur.Gre,female,a7160,HA_T3,Treatment,0.433,3.274,0.040395273,,31/05/2019,2,126,
Yel.Whi,female,a7210,HA_T3,Treatment,0.481,3.159,0.048199865,,31/05/2019,2,126,
Whi.Bro,male,a7266,HA_T3,Treatment,0.272,3.006,0.030101695,,31/05/2019,2,126,
Gre.Bro,female,a7296,HA_T3,Treatment,0.336,2.738,0.044820055,,31/05/2019,2,126,
Yel.Bla,female,a7337,HA_T3,Treatment,0.533,3.046,0.057447008,,31/05/2019,2,126,yel small
_.Ora,male,a7414,HA_T3,Treatment,0.313,2.673,0.043807293,,31/05/2019,2,126,
_.Blu,female,a7459,HA_T3,Treatment,0.337,2.924,0.039416237,,31/05/2019,2,126,
Red.Whi,male,a7469,HA_T3,Treatment,0.336,3.091,0.035167481,,31/05/2019,2,126,
Ora.Yel,female,a7484,HA_T3,Treatment,0.402,3.114,0.041456138,,31/05/2019,2,126,
Ora.Pin,female,a7556,HA_T3,Treatment,0.41,2.958,0.046858407,,31/05/2019,2,126,
Red.Pin,male,a7566,HA_T3,Treatment,0.25,2.87,0.030351224,,31/05/2019,2,126,
Bla.Red,male,a7610,HA_T3,Treatment,0.193,3.122,0.0198012,,31/05/2019,2,126,
Whi.Whi,female,a7640,HA_T3,Treatment,0.43,3.07,0.045623826,,31/05/2019,2,126,
Gre.Ora,female,a7686,HA_T3,Treatment,0.504,3.15,0.050793651,,31/05/2019,2,126,
_.Bro,male,a7719,HA_T3,Treatment,0.255,2.664,0.035931201,,31/05/2019,2,126,
Red.Red,female,a8063,HA_T3,Treatment,0.445,3.012,0.04905125,,31/05/2019,2,126,
_.Whi,male,a8070,HA_T3,Treatment,0.312,2.997,0.034736104,,31/05/2019,2,126,
_.Bla,male,a6799,HA_T4,Treatment,0.321,3.079,0.033859899,,31/05/2019,2,126,
Gre.Gre,male,a6869,HA_T4,Treatment,0.285,2.852,0.035038525,,31/05/2019,2,126,
Blu.Bla,male,a6891,HA_T4,Treatment,0.327,3.081,0.034448027,,31/05/2019,2,126,
Ora.Blu,female,a6961,HA_T4,Treatment,0.354,2.792,0.045412189,,31/05/2019,2,126,
Gre.Bro,male,a7018,HA_T4,Treatment,0.315,2.805,0.04003546,,31/05/2019,2,126,looks male
Ora.Gre,female,a7061,HA_T4,Treatment,0.431,3.305,0.039457934,,31/05/2019,2,126,
Bla.Pin,male,a7138,HA_T4,Treatment,0.361,2.914,0.042513622,,31/05/2019,2,126,
Whi.Pur,male,a7180,HA_T4,Treatment,0.267,2.834,0.03324387,,31/05/2019,2,126,
Yel.Blu,female,a7214,HA_T4,Treatment,0.443,3.083,0.046607593,,31/05/2019,2,126,
Whi.Bla,female,a7260,HA_T4,Treatment,0.357,3.146,0.036070385,,31/05/2019,2,126,
Gre.Pur,male,a7297,HA_T4,Treatment,0.295,2.933,0.034292401,,31/05/2019,2,126,
Red.Yel,male,a7321,HA_T4,Treatment,0.3,2.835,0.037326316,,31/05/2019,2,126,
Bro.Whi,female,a7358,HA_T4,Treatment,0.324,2.729,0.043504876,,31/05/2019,2,126,
Ora.Whi,female,a7409,HA_T4,Treatment,0.528,3.313,0.048105092,,31/05/2019,2,126,
Bro.Ora,female,a7439,HA_T4,Treatment,0.294,2.719,0.039767557,,31/05/2019,2,126,
Ora.Bla,male,a7494,HA_T4,Treatment,0.291,2.903,0.034530186,,31/05/2019,2,126,
Pin._,male,a7548,HA_T4,Treatment,0.221,2.611,0.032417426,,31/05/2019,2,126,
Red.Gre,female,a7562,HA_T4,Treatment,0.347,3.007,0.038376257,,31/05/2019,2,126,
Bla.Gre,female,a7608,HA_T4,Treatment,0.407,3.024,0.044507258,,31/05/2019,2,126,
Whi.Ora,male,a7646,HA_T4,Treatment,0.319,2.876,0.038566739,,31/05/2019,2,126,potential male but not certain
Gre.Yel,male,a7682,HA_T4,Treatment,0.273,2.577,0.041108706,,31/05/2019,2,126,
Bro.Yel,male,a7728,HA_T4,Treatment,0.304,2.971,0.034440407,,31/05/2019,2,126,
_.Red,male,a8057,HA_T4,Treatment,0.31,3.06,0.033106925,,31/05/2019,2,126,
Red.Pur,female,a8062,HA_T4,Treatment,0.379,2.959,0.043286182,,31/05/2019,2,126,
Gre.Whi,male,a6833,HA_T5,Treatment,0.298,2.912,0.03514257,,31/05/2019,2,126,small white dot
_.Gre,male,a6864,HA_T5,Treatment,0.294,2.81,0.037233571,,31/05/2019,2,126,
Blu.Pin,male,a6882,HA_T5,Treatment,0.339,2.978,0.038225248,,31/05/2019,2,126,
Pur.Bro,female,a6937,HA_T5,Treatment,0.284,2.861,0.034696257,,31/05/2019,2,126,
Gre.Ora,female,a7010,HA_T5,Treatment,0.383,2.995,0.042697763,,31/05/2019,2,126,
Bro._,female,a7050,HA_T5,Treatment,0.407,2.905,0.04822832,,31/05/2019,2,126,
Red.Blu,male,a7092,HA_T5,Treatment,0.313,3.124,0.032071723,,31/05/2019,2,126,
Pin.Bro,male,a7191,HA_T5,Treatment,0.29,2.806,0.036831776,,31/05/2019,2,126,
_.Red,female,a7219,HA_T5,Treatment,0.418,3.191,0.041050899,,31/05/2019,2,126,
Bla.Pin,female,a7253,HA_T5,Treatment,0.33,2.887,0.039593179,,31/05/2019,2,126,
Pin.Yel,male,a7282,HA_T5,Treatment,0.338,3.173,0.033571949,,31/05/2019,2,126,
Red.Pur,male,a7325,HA_T5,Treatment,0.252,2.994,0.028112337,,31/05/2019,2,126,
Ora.Ora,female,a7379,HA_T5,Treatment,0.368,2.832,0.045884005,,31/05/2019,2,126,
Ora.Pur,female,a7405,HA_T5,Treatment,0.408,2.966,0.046378625,,31/05/2019,2,126,
_._,female,a7441,HA_T5,Treatment,0.341,2.869,0.041427935,,31/05/2019,2,126,
_.Ora,male,a7487,HA_T5,Treatment,0.292,2.975,0.03299202,,31/05/2019,2,126,
Pin.Bla,female,a7551,HA_T5,Treatment,0.286,3.16,0.028641243,,31/05/2019,2,126,female
Red.Ora,female,a7567,HA_T5,Treatment,0.347,2.887,0.041632827,,31/05/2019,2,126,
Bla.Bro,female,a7605,HA_T5,Treatment,0.421,3.007,0.046560243,,31/05/2019,2,126,
Red.Bla,female,a7663,HA_T5,Treatment,0.365,2.822,0.045833059,,31/05/2019,2,126,
Gre.Bro,male,a7683,HA_T5,Treatment,0.325,2.905,0.038511558,,31/05/2019,2,126,
Bro.Ora,female,a7727,HA_T5,Treatment,0.382,2.86,0.04670155,,31/05/2019,2,126,
Pin.Pur,male,a8044,HA_T5,Treatment,0.308,2.699,0.042280971,,31/05/2019,2,126,male
Pur.Gre,male,a8074,HA_T5,Treatment,0.298,2.73,0.039984436,,31/05/2019,2,126,
Gre.Bro,female,a6834,HA_C1,Control,0.35,3.032,0.038072347,,13/06/2019,4,140,
Gre.Yel,male,a6859,HA_C1,Control,0.32,3.011,0.035296242,,13/06/2019,4,140,male
Red.Red,female,a6899,HA_C1,Control,0.475,3.275,0.044286463,,13/06/2019,4,140,
Bla.Red,female,a6923,HA_C1,Control,0.38,3.055,0.040715631,,13/06/2019,4,140,
Red.Pin,male,a6985,HA_C1,Control,0.264,2.929,0.03077267,,13/06/2019,4,140,
Blu.Yel,female,a7002,HA_C1,Control,0.312,2.727,0.041955057,,13/06/2019,4,140,female
Whi._,male,a7070,HA_C1,Control,0.335,3.165,0.033442395,,13/06/2019,4,140,
Bro.Bla,female,a7082,HA_C1,Control,0.429,3.189,0.042184048,,13/06/2019,4,140,
Ora.Bro,male,a7152,HA_C1,Control,0.284,2.978,0.032023512,,13/06/2019,4,140,
Whi.Blu,male,a7179,HA_C1,Control,0.288,2.994,0.032128385,,13/06/2019,4,140,
Red.Whi,female,a7226,HA_C1,Control,0.491,3.347,0.043829858,,13/06/2019,4,140,
Pur.Yel,male,a7272,HA_C1,Control,0.222,2.848,0.027369887,,13/06/2019,4,140,
Pin.Whi,female,a7281,HA_C1,Control,0.444,3.159,0.044492183,,13/06/2019,4,140,
Whi.Pur,female,a7376,HA_C1,Control,0.419,3.217,0.040486655,,13/06/2019,4,140,female
Ora.Bla,male,a7403,HA_C1,Control,0.32,3.057,0.034241998,,13/06/2019,4,140,
Yel._,male,a7475,HA_C1,Control,0.238,2.745,0.031585828,,13/06/2019,4,140,
Ora.Pin,female,a7498,HA_C1,Control,0.351,3.017,0.038561729,,13/06/2019,4,140,
Pin.Ora,male,a7555,HA_C1,Control,0.362,3.176,0.035887862,,13/06/2019,4,140,
Red.Yel,male,a7563,HA_C1,Control,0.303,3.05,0.032571889,,13/06/2019,4,140,
Red.Ora,male,a7614,HA_C1,Control,0.29,3.019,0.031817919,,13/06/2019,4,140,
Blu.Blu,female,a7659,HA_C1,Control,0.347,2.997,0.038632782,,13/06/2019,4,140,
Gre.Gre,female,a7698,HA_C1,Control,0.433,2.936,0.050231459,,13/06/2019,4,140,
Bro.Bro,male,a7720,HA_C1,Control,0.259,2.624,0.037615956,,13/06/2019,4,140,
Yel.Red,female,a8068,HA_C1,Control,0.298,2.81,0.03774015,,13/06/2019,4,140,
Bla._,female,a6798,HA_C2,Control,0.497,2.958,0.056801532,,13/06/2019,4,140,
Pin.Yel,male,a6847,HA_C2,Control,0.328,3.029,0.035749938,,13/06/2019,4,140,
Blu.Yel,female,a6881,HA_C2,Control,0.636,3.387,0.055440447,,13/06/2019,4,140,
Ora.Bro,male,a6967,HA_C2,Control,0.342,3.068,0.036334183,,13/06/2019,4,140,
Blu.Blu,male,a7006,HA_C2,Control,0.316,2.884,0.037992386,,13/06/2019,4,140,
Pur._,male,a7056,HA_C2,Control,0.288,3.152,0.028988121,,13/06/2019,4,140,
Red.Pin,male,a7096,HA_C2,Control,0.36,3.177,0.035667122,,13/06/2019,4,140,
Ora.Yel,male,a7153,HA_C2,Control,0.297,3.065,0.031615168,,13/06/2019,4,140,
Pur.Blu,male,a7163,HA_C2,Control,0.372,3.411,0.031972714,,13/06/2019,4,140,
Blu.Ora,female,a7204,HA_C2,Control,0.648,3.546,0.051534438,,13/06/2019,4,140,
_.Whi,male,a7250,HA_C2,Control,0.366,3.063,0.039011001,,13/06/2019,4,140,
Pin.Bro,female,a7284,HA_C2,Control,0.496,3.391,0.043134632,,13/06/2019,4,140,
Yel.Bla,male,a7336,HA_C2,Control,0.331,3.105,0.034332449,,13/06/2019,4,140,
Whi.Yel,male,a7370,HA_C2,Control,0.361,3.025,0.039450857,,13/06/2019,4,140,
Ora.Pin,male,a7408,HA_C2,Control,0.336,2.987,0.037659004,,13/06/2019,4,140,
Red.Bro,male,a7474,HA_C2,Control,0.285,2.845,0.035211159,,13/06/2019,4,140,
Ora.Ora,female,a7486,HA_C2,Control,0.49,3.302,0.044940918,,13/06/2019,4,140,
_.Pin,female,a7549,HA_C2,Control,0.379,2.976,0.042793061,,13/06/2019,4,140,
Bro.Bro,male,a7573,HA_C2,Control,0.422,3.247,0.040026524,,13/06/2019,4,140,
_.Bla,male,a7600,HA_C2,Control,0.408,3.246,0.038722477,,13/06/2019,4,140,
_._,female,a7658,HA_C2,Control,0.424,3.055,0.045430072,,13/06/2019,4,140,
Gre.Gre,male,a7688,HA_C2,Control,0.338,3.108,0.034990865,,13/06/2019,4,140,
Bro.Pur,male,a7729,HA_C2,Control,0.276,2.841,0.034195315,,13/06/2019,4,140,
Red._,female,a8064,HA_C2,Control,0.387,3.323,0.035046954,,13/06/2019,4,140,
Blu.Pur,female,a6813,HA_C3,Control,0.473,3.058,0.050580856,,13/06/2019,4,140,
Pin.Gre,female,a6845,HA_C3,Control,0.431,3.34,0.038635304,,13/06/2019,4,140,
Blu.Gre,female,a6885,HA_C3,Control,0.557,3.259,0.052442873,,13/06/2019,4,140,
Bla.Bla,female,a6929,HA_C3,Control,0.443,3.095,0.046246878,,13/06/2019,4,140,"one black spot left, two on right"
Red.Gre,male,a6990,HA_C3,Control,0.337,3.042,0.036417613,,13/06/2019,4,140,
Gre._,male,a7017,HA_C3,Control,0.346,3.079,0.036496962,,13/06/2019,4,140,
Red.Yel,male,a7048,HA_C3,Control,0.268,3.053,0.028752869,,13/06/2019,4,140,
Red.Pur,female,a7093,HA_C3,Control,0.44,3.277,0.040973192,,13/06/2019,4,140,
Bla.Red,male,a7144,HA_C3,Control,0.34,3.217,0.032853133,,13/06/2019,4,140,
_.Pur,male,a7168,HA_C3,Control,0.206,2.64,0.029556933,,13/06/2019,4,140,
Whi.Pin,female,a7232,HA_C3,Control,0.568,3.573,0.044492038,,13/06/2019,4,140,
Whi.Ora,male,a7264,HA_C3,Control,0.314,2.95,0.036081586,,13/06/2019,4,140,
