Mark,Sex,Fish_ID,Tank,Treatment_Tank,Weight(g),Fish_Length_cm,BMI,K Index,Date,Week,Age_Days,Notes
Pur._,male,a7730,HA_C3,Control,0.185,2.348,0.033556414,,16/05/2019,0,112,
_.Yel,male,a6807,HA_C4,Control,0.217,2.715,0.029438797,,16/05/2019,0,112,
_.Pin,male,a6839,HA_C4,Control,0.177,2.387,0.03106479,,16/05/2019,0,112,
Blu.Whi,male,a6884,HA_C4,Control,0.229,2.644,0.032757638,,16/05/2019,0,112,
Pur._,female,a6930,HA_C4,Control,0.193,2.411,0.033201896,,16/05/2019,0,112,
Gre.Yel,female,a6971,HA_C4,Control,0.284,2.638,0.040810203,,16/05/2019,0,112,
_.Gre,female,a7020,HA_C4,Control,0.22,2.508,0.034975797,,16/05/2019,0,112,
_.Ora,female,a7059,HA_C4,Control,0.335,2.688,0.046364574,,16/05/2019,0,112,
Red.Gre,female,a7090,HA_C4,Control,0.222,2.568,0.033663784,,16/05/2019,0,112,
Whi.Ora,male,a7184,HA_C4,Control,0.211,2.454,0.035037518,,16/05/2019,0,112,
Blu.Bla,female,a7201,HA_C4,Control,0.206,2.451,0.034291035,,16/05/2019,0,112,
Whi.Pur,female,a7259,HA_C4,Control,0.192,2.397,0.033416823,,16/05/2019,0,112,
Pin.Red,male,a7286,HA_C4,Control,0.256,2.666,0.036018007,,16/05/2019,0,112,very small red dot
Bro._,female,a7367,HA_C4,Control,0.273,2.503,0.043575356,,16/05/2019,0,112,
Yel.Yel,female,a7418,HA_C4,Control,0.258,2.342,0.047037683,,16/05/2019,0,112,
Bro.Whi,female,a7438,HA_C4,Control,0.278,2.533,0.043328576,,16/05/2019,0,112,
Ora.Gre,male,a7492,HA_C4,Control,0.151,2.178,0.0318318,,16/05/2019,0,112,might be injured
_.Pur,male,a7539,HA_C4,Control,0.14,2.137,0.030656247,,17/05/2019,0,112,replacement fish 17/5/19
Pur.Red,female,a7578,HA_C4,Control,0.205,2.403,0.035501469,,16/05/2019,0,112,
Bla.Bla,female,a7601,HA_C4,Control,0.323,2.759,0.042432549,,16/05/2019,0,112,
Whi.Whi,male,a7661,HA_C4,Control,0.217,2.515,0.03430708,,16/05/2019,0,112,could be male
Pin.Blu,male,a7696,HA_C4,Control,0.21,2.403,0.036367358,,16/05/2019,0,112,
Pur.Blu,male,a7737,HA_C4,Control,0.188,2.445,0.031448514,,16/05/2019,0,112,very small blu dot
Pin.Bla,female,a8045,HA_C4,Control,0.217,2.382,0.038245137,,16/05/2019,0,112,
Yel.Pin,male,a8066,HA_C4,Control,0.176,2.316,0.032812216,,16/05/2019,0,112,
Bla._,female,a6800,HA_C5,Control,0.134,2.287,0.025619607,,16/05/2019,0,112,
Pin.Blu,male,a6843,HA_C5,Control,0.183,2.631,0.026436831,,16/05/2019,0,112,
Red.Gre,female,a6895,HA_C5,Control,0.206,2.476,0.033602063,,16/05/2019,0,112,looks female
Ora.Yel,female,a6966,HA_C5,Control,0.239,2.659,0.033803466,,16/05/2019,0,112,
Gre.Pin,male,a7013,HA_C5,Control,0.224,2.494,0.036012653,,16/05/2019,0,112,looks male
Red.Pin,female,a7044,HA_C5,Control,0.303,2.75,0.040066116,,16/05/2019,0,112,
Bro.Whi,female,a7088,HA_C5,Control,0.102,2.114,0.022823918,,16/05/2019,0,112,
Gre.Bro,male,a7124,HA_C5,Control,0.146,2.352,0.02639236,,16/05/2019,0,112,
Blu.Red,female,a7200,HA_C5,Control,0.234,2.554,0.035873527,,16/05/2019,0,112,
Bro.Bla,male,a7242,HA_C5,Control,0.231,2.584,0.034596085,,16/05/2019,0,112,bro small dot; looks male
Pin.Pur,female,a7285,HA_C5,Control,0.244,2.538,0.037879705,,16/05/2019,0,112,
Yel.Ora,male,a7335,HA_C5,Control,0.176,2.397,0.030632088,,16/05/2019,0,112,
_._,female,a7381,HA_C5,Control,0.24,2.769,0.031301513,,17/05/2019,0,112,replacement fish 17/5/19
Pur._,female,a7415,HA_C5,Control,0.256,2.882,0.030821375,,16/05/2019,0,112,
_.Blu,female,a7440,HA_C5,Control,0.317,2.681,0.044102746,,16/05/2019,0,112,
_.Red,male,a7496,HA_C5,Control,0.238,2.678,0.033186069,,16/05/2019,0,112,
