Mark,Sex,Fish_ID,Tank,Group,Weight(g),Fish_Length_cm,BMI,K Index,Date,Week,Age_Days,Notes
Bla.Bla,female,a7601,HA_C4,Control,0.681,3.756,0.048272072,1.285198947,,20,,
Red.Gre,female,a7090,HA_C4,Control,0.665,3.742,0.047491302,1.269142232,,20,,
Pin.Bla,female,a8045,HA_C4,Control,0.412,3.564,0.032435592,0.910089555,,20,,
Blu.Bla,female,a7201,HA_C4,Control,0.73,3.873,0.048666248,1.256551721,,20,,
Gre.Yel,female,a6971,HA_C4,Control,0.599,3.625,0.045583829,1.257484932,,20,,
Yel.Yel,female,a7418,HA_C4,Control,0.536,3.658,0.040056905,1.095049336,,20,,
Bro.Whi,female,a7438,HA_C4,Control,0.782,3.849,0.052785049,1.371396446,,20,,
_.Gre,female,a7020,HA_C4,Control,0.622,3.536,0.049746883,1.406868856,,20,,
Whi.Pur,female,a7259,HA_C4,Control,0.48,3.313,0.043731902,1.320009114,,20,,
Pur.Red,female,a7578,HA_C4,Control,0.676,3.73,0.048588001,1.302627374,,20,,
Pin.Whi,female,a6846,HA_T1,Treatment,0.685,3.817,0.047016062,1.231754313,,20,,
_.Red,female,a7319,HA_T1,Treatment,0.76,3.557,0.060068372,1.688736914,,20,,
Gre.Gre,female,a7292,HA_T1,Treatment,0.821,3.77,0.057764425,1.532212872,,20,,
Bro.Yel,female,a7087,HA_T1,Treatment,0.638,3.549,0.050653409,1.42725864,,20,,
Bla.Pur,female,a6925,HA_T1,Treatment,0.711,3.87,0.047473109,1.226695312,,20,,
Ora.Pin,female,a7488,HA_T1,Treatment,0.747,3.705,0.054418201,1.468777344,,20,,
Ora.Ora,female,a7379,HA_T1,Treatment,0.768,3.467,0.063893038,1.842891195,,20,,
Blu.Yel,female,a7206,HA_T1,Treatment,0.512,3.393,0.044473595,1.31074552,,20,,
Red.Pin,female,a6894,HA_T1,Treatment,1.09,3.949,0.069895985,1.769966704,,20,,
Bro.Bro,female,a7662,HA_T1,Treatment,1,3.728,0.071952882,1.930066572,,20,,
Pin.Pin,female,a7550,HA_T1,Treatment,1.022,3.777,0.071640223,1.896749339,,20,,
_.Pur,female,a6825,HA_T1,Treatment,0.775,3.831,0.052805286,1.378368205,,20,,
Pur.Pur,female,a6932,HA_T2,Treatment,0.967,4.073,0.058290483,1.431143702,,20,,
Pin.Blu,female,a7288,HA_T2,Treatment,1.025,4.018,0.063489806,1.580134546,,20,,
Red._,female,a7495,HA_T2,Treatment,0.503,3.412,0.043206585,1.266312569,,20,,
Blu.Ora,female,a6883,HA_T2,Treatment,0.865,4.059,0.052502261,1.293477723,,20,,
Whi.Bro,female,a7649,HA_T2,Treatment,0.726,4.053,0.044196046,1.090452643,,20,,
Bla.Pin,female,a7604,HA_T2,Treatment,0.772,3.974,0.048883419,1.230081005,,20,,
Red.Ora,female,a7089,HA_T2,Treatment,0.865,4.163,0.049911806,1.198938413,,20,,
Red.Pur,female,a7222,HA_T2,Treatment,0.901,3.714,0.06531922,1.75872968,,20,,
Yel.Gre,female,a8067,HA_T2,Treatment,1.024,4.304,0.055278396,1.284349345,,20,,
Ora.Pur,female,a8071,HA_T2,Treatment,0.907,4.059,0.055051504,1.356282422,,20,,
Blu._,female,a7207,HA_T2,Treatment,0.908,4.03,0.055908232,1.387301034,,20,,
Pin.Pin,female,a6840,HA_T2,Treatment,0.863,4.135,0.050473075,1.220630603,,20,,
Whi._,female,a8050,HA_T2,Treatment,0.834,3.999,0.052151072,1.304102833,,20,,
Red.Red,female,a8063,HA_T3,Treatment,0.778,3.949,0.049889061,1.263334033,,20,,
Yel.Whi,female,a7210,HA_T3,Treatment,0.78,3.826,0.053284963,1.392706831,,20,,
Ora.Pin,female,a7556,HA_T3,Treatment,1.051,3.969,0.066717616,1.680967897,,20,,
Gre.Gre,female,a7019,HA_T3,Treatment,0.917,3.469,0.076201011,2.1966276,,20,,
Gre.Ora,female,a7686,HA_T3,Treatment,0.937,3.809,0.064582915,1.695534663,,20,,
