Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
Novel,Thursday,NA,Q,1,female,Whi.Whi,5,1,HA_T3,Treatment,a7640,NA,1999.14,11.1711,23.2466,52072.4,-,0,13.1197,9.67976,23.4394,14.9596,52.3187,14.8796,25.6794,25.6794,31.5192,52.7187,95.5176,179.756,177.116
Novel,Thursday,NA,X,8,male,Bla.Whi,5,2,HA_T3,Treatment,a7139,NA,1173.53,6.51979,19.5119,43901.8,25.3327,75.9981,15.7596,1.35997,75.0381,33.6792,10.5597,26.2393,1.27997,16.0796,37.0391,120.077,22.8794,179.995,97.0376
Novel,Thursday,NA,Q,1,female,Whi.Whi,6,1,HA_C4,Control,a7661,NA,1636.08,9.10168,25.7312,57843.7,-,0,1.35997,0,16.5596,17.9196,55.5186,19.1995,41.839,27.5993,13.0397,49.8388,117.117,179.995,177.756
Novel,Thursday,NA,X,8,female,Bro._,6,2,HA_C4,Control,a7367,NA,1625.46,9.03053,12.9568,29152.9,-,0,66.9583,24.7994,12.2397,13.1197,15.8396,28.7993,5.51986,12.7197,113.677,36.4791,29.8393,179.995,178.156
Novel,Thursday,NA,Q,1,male,Yel.Pin,7,1,HA_C4,Control,a8066,NA,1494.76,8.31553,22.7797,51208.7,8.00E-02,0.079998,19.5995,14.8796,11.1997,12.9597,44.3989,18.1595,43.9189,14.8796,46.7188,34.3191,98.9575,179.995,169.676
Novel,Thursday,NA,X,8,female,_.Gre,7,2,HA_C4,Control,a7020,NA,587.758,3.2654,10.5328,23698.8,17.2156,86.0778,20.1595,129.357,4.31989,3.59991,12.0797,3.9199,1.11997,5.43986,151.996,10.6397,17.3596,179.995,79.998
Novel,Thursday,NA,Q,1,male,Pin.Blu,8,1,HA_C4,Control,a6843,NA,946.976,5.26111,27.0747,60918.2,3.32792,33.2792,12.7197,16.7996,3.9999,4.0799,23.4394,6.63983,105.437,6.87983,34.0791,12.1597,133.757,179.995,99.9975
Novel,Thursday,NA,X,8,male,Gre.Gre,8,2,HA_T4,Treatment,a6869,NA,166.337,0.924115,12.4719,28061.8,8.4507,92.9577,13.0397,17.9196,2.07995,11.2797,1.59996,131.437,0,2.63993,54.3986,122.637,2.95993,179.995,23.5194
Novel,Thursday,NA,Q,1,female,Ora.Whi,9,1,HA_T4,Treatment,a7409,NA,1254.8,6.9713,21.2597,47834.4,-,0,23.6794,26.4793,13.2797,9.51976,37.999,13.1997,39.679,16.1596,59.2785,31.1192,89.5978,179.995,175.436
Novel,Thursday,NA,X,8,male,Blu.Bla,9,2,HA_T4,Treatment,a6891,NA,336.326,1.86853,10.5585,23756.7,44.1856,132.557,3.9199,139.437,7.75981,9.03977,2.15995,7.35982,0,10.3197,147.516,24.7194,7.75981,179.995,33.5992
