Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
Aggression,Tuesday,30/07/2019,G,7,female,Whi.Whi,5,2,HA_T3,Treatment,a7640,NA,1398.13,7.76756,20.2894,45651.3,-,0,12.3197,62.3984,2.71993,2.07995,21.1995,6.15985,68.1583,4.95988,79.118,8.23979,92.6377,179.995,162.956
Aggression,Tuesday,30/07/2019,G,7,female,Blu.Bla,6,2,HA_C4,Control,a7201,NA,457.86,2.54373,4.56152,10263.4,0.159996,1.59996,4.1599,175.836,0,0,0,0,0,0,179.995,0,0,179.995,106.397
Aggression,Tuesday,30/07/2019,G,7,male,Yel.Pin,7,2,HA_C4,Control,a8066,NA,1371.85,7.62159,15.8118,35576.6,2.57994,10.3197,15.2796,74.7181,9.91975,5.83985,32.6392,6.39984,13.5997,21.5995,94.3176,21.7595,63.9184,179.995,151.116
Aggression,Tuesday,30/07/2019,G,7,female,Ora.Blu,8,2,HA_T4,Treatment,a6961,NA,1194.91,6.63854,11.1574,25104.1,8.00E-02,0.079998,18.8795,96.4776,9.83975,10.6397,17.2796,10.5597,6.23984,10.0797,122.397,26.8793,30.7192,179.995,173.596
Aggression,Tuesday,30/07/2019,G,7,female,Red.Pur,9,2,HA_T4,Treatment,a8062,NA,1208.91,6.71634,6.19992,13949.8,-,0,39.039,112.477,7.51981,7.03982,0.79998,9.03977,0,4.0799,157.276,19.2795,3.43991,179.995,175.996
Aggression,Tuesday,30/07/2019,G,7,female,Red.Gre,10,2,HA_T4,Treatment,a7562,NA,1715.78,9.53234,16.3614,36813.3,-,0,19.5195,57.4386,10.3197,10.2397,49.6788,11.9997,7.11982,13.6797,84.7979,27.9193,67.2783,179.995,171.756
Aggression,Tuesday,NA,M,5,female,Whi.Pur,1,2,HA_C4,Control,a7259,NA,1116.72,6.20416,12.1574,27354.1,0.111997,0.559986,23.5994,106.957,5.35987,5.35987,18.7995,7.75981,5.91985,6.23984,135.517,15.3596,29.1193,179.995,129.357
Aggression,Tuesday,NA,P,8,female,Pin.Bla,1,2,HA_C4,Control,a8045,NA,1386.32,7.70199,14.2947,32163,8.00E-02,0.079998,29.2793,62.9584,9.83975,13.9197,17.7596,16.7996,17.1996,12.2397,103.677,32.9592,43.3589,179.995,167.516
Aggression,Tuesday,NA,M,5,male,Yel.Pin,2,2,HA_C4,Control,a8066,NA,1207.86,6.71048,6.78363,15263.2,-,0,20.4795,130.797,2.95993,6.15985,3.9199,9.35977,2.31994,3.9999,157.996,13.2797,8.71978,179.995,169.836
Aggression,Tuesday,NA,P,8,female,Bro.Whi,2,2,HA_C4,Control,a7438,NA,224.228,1.24574,4.12965,9291.7,32.9325,98.7975,3.75991,176.236,0,0,0,0,0,0,179.995,0,0,179.995,47.9188
Aggression,Tuesday,NA,M,5,male,Bro.Yel,3,2,HA_T4,Treatment,a7728,NA,1499.4,8.33023,11.4871,25846,8.00E-02,0.079998,28.3193,83.0379,13.0397,11.7597,12.9597,13.9197,1.43996,15.5196,121.037,33.9192,25.0394,179.995,163.356
Aggression,Tuesday,NA,P,8,male,Blu.Bla,3,2,HA_T4,Treatment,a6891,NA,2085.96,11.5889,13.3572,30053.7,-,0,34.3991,48.3188,19.5195,18.1595,15.0396,23.0394,0.959976,20.3195,98.7175,51.3587,29.6793,179.995,176.876
Aggression,Tuesday,NA,M,5,female,Bla.Gre,4,2,HA_T4,Treatment,a7608,NA,1178.19,6.54565,12.979,29202.7,-,0,38.959,59.9985,10.8797,10.3197,18.6395,17.6796,9.59976,13.9197,112.557,29.5193,37.9191,179.995,167.596
Aggression,Tuesday,NA,P,8,female,Ora.Gre,4,2,HA_T4,Treatment,a7061,NA,212.297,1.17946,5.63299,12674.2,71.2382,142.476,1.27997,174.636,0.479988,0.39999,2.07995,0.559986,0,0.559986,176.236,1.27997,2.47994,179.995,30.3992
