Phase,Day,Date,Video_ID,Arena,Sex,Mark,Session,Camera,Origin,ID,Group,Notes,Phase_1,Phase_2,Phase_3,Phase_4,dist center-point Mean cm,dist center-point Total cm,speed center-point Mean cm/s,speed center-point Total cm/s,dist_stim 0-5cm (Center) / center-point Mean cm,dist_stim 0-5cm (Center) / center-point Total cm,freeze Not Moving / center-point Mean s,freeze Not Moving / center-point Frequency,freeze Not Moving / center-point Cumulative Duration s,freeze Not Moving / center-point Cumulative Duration %,in_det_zone 5-10cm / center-point Frequency,in_det_zone 5-10cm / center-point Cumulative Duration s,in_det_zone 5-10cm / center-point Cumulative Duration %,in_det_zone 0-5cm / center-point Frequency,in_det_zone 0-5cm / center-point Cumulative Duration s,in_det_zone 0-5cm / center-point Cumulative Duration %,in_det_zone 20-25cm / center-point Frequency,in_det_zone 20-25cm / center-point Cumulative Duration s,in_det_zone 20-25cm / center-point Cumulative Duration %,in_det_zone 15-20cm / center-point Frequency,in_det_zone 15-20cm / center-point Cumulative Duration s,in_det_zone 15-20cm / center-point Cumulative Duration %,in_det_zone 30-35cm / center-point Frequency,in_det_zone 30-35cm / center-point Cumulative Duration s,in_det_zone 30-35cm / center-point Cumulative Duration %,in_det_zone 10-15cm / center-point Frequency,in_det_zone 10-15cm / center-point Cumulative Duration s,in_det_zone 10-15cm / center-point Cumulative Duration %,in_det_zone 35-40cm / center-point Frequency,in_det_zone 35-40cm / center-point Cumulative Duration s,in_det_zone 35-40cm / center-point Cumulative Duration %,in_det_zone 25-30cm / center-point Frequency,in_det_zone 25-30cm / center-point Cumulative Duration s,in_det_zone 25-30cm / center-point Cumulative Duration %,in_zone Near / center-point Frequency,in_zone Near / center-point Cumulative Duration s,in_zone Near / center-point Cumulative Duration %,in_zone Middle / center-point Frequency,in_zone Middle / center-point Cumulative Duration s,in_zone Middle / center-point Cumulative Duration %,in_zone Far / center-point Frequency,in_zone Far / center-point Cumulative Duration s,in_zone Far / center-point Cumulative Duration %,risk_3 Arena / center-point Frequency,risk_3 Arena / center-point Cumulative Duration s,risk_3 Arena / center-point Cumulative Duration %,move Moving / center-point Cumulative Duration s
Acclimation,Monday,29/07/2019,G,7,male,Red.Whi,5,2,HA_T1,a6991,Treatment,,Social,Predator,Novel,Aggression,0.511709,1151.34,6.39652,14392.2,21.6381,48707.3,0.119997,4,0.479988,0.0235276,22,10.3997,0.509764,12,51.5187,2.52529,18,6.71983,0.329386,19,6.71983,0.329386,30,22.8794,1.12148,19,7.67981,0.376441,22,67.5183,3.30954,17,6.63983,0.325465,9,67.4383,3.30562,17,17.5196,0.858756,9,95.1176,4.66238,1,180.075,8.82676,149.836
Acclimation,Tuesday,,N,6,male,Red.Whi,10,2,HA_T1,a6991,Treatment,,Novel,Predator,Aggression,Social,0.482464,1085.54,6.03095,13569.6,20.7325,46668.8,2.11995,2,4.23989,0.207827,22,19.5995,0.960709,9,23.4394,1.14893,24,20.3995,0.999922,21,15.7596,0.772488,22,33.4392,1.63909,23,14.7196,0.721512,10,35.5191,1.74104,25,17.1996,0.843071,11,53.2787,2.61156,24,45.9988,2.25473,13,80.798,3.96047,1,180.075,8.82676,156.396
Acclimation,Friday,,T,4,male,Red.Whi,5,1,HA_T1,a6991,Treatment,,Predator,Aggression,Social,Novel,0.6358,1430.55,7.9477,17882.3,18.1992,40966.5,-,0,0,0,32,27.1193,1.32931,18,33.1192,1.6234,31,16.7996,0.823465,28,13.8397,0.678378,27,38.799,1.90181,28,16.0796,0.788173,13,13.8397,0.678378,30,20.4795,1.00384,14,71.3582,3.49776,29,42.2389,2.07043,16,66.4783,3.25857,1,180.075,8.82676,173.516
Acclimation,Tuesday,30/07/2019,H,8,male,Yel.Pin,3,2,HA_T3,a6996,Treatment,,Novel,Aggression,Social,Predator,0.681917,1534.31,8.52417,19179.4,14.7955,33304.8,0.143996,5,0.719982,0.0352913,31,13.5997,0.666614,15,93.0377,4.56043,21,5.67986,0.27841,21,4.0799,0.199984,32,17.4396,0.854835,26,9.19977,0.450945,19,28.7993,1.41165,23,8.23979,0.40389,13,113.117,5.54466,23,13.9996,0.686221,11,52.9587,2.59587,1,180.075,8.82676,156.556
Acclimation,Wednesday,,M,5,male,Yel.Pin,10,2,HA_T3,a6996,Treatment,,Social,Novel,Predator,Aggression,0.767994,1727.99,9.60016,21600.4,21.3812,48129,0.959976,1,0.959976,0.0470551,37,16.0796,0.788173,20,27.7593,1.36068,39,15.5996,0.764646,35,17.3596,0.850914,51,48.0788,2.35668,34,14.0796,0.690142,23,18.9595,0.929339,49,22.1594,1.08619,16,51.2787,2.51353,38,45.2789,2.21943,22,83.5179,4.0938,1,180.075,8.82676,171.276
Acclimation,Thursday,,R,2,male,Yel.Pin,4,1,HA_T3,a6996,Treatment,,Novel,Predator,Social,Aggression,0.618117,1390.15,7.72666,17377.2,18.6731,42014.5,0.079998,1,0.079998,0.00392126,27,11.0397,0.541134,15,66.2383,3.2468,29,10.6397,0.521528,26,7.67981,0.376441,37,23.1194,1.13324,26,9.67976,0.474473,19,36.8791,1.8077,34,14.5596,0.71367,15,83.4379,4.08988,30,26.7193,1.3097,17,69.6783,3.41542,1,179.995,8.82284,154.796
Acclimation,Monday,29/07/2019,D,4,male,Blu.Whi,5,1,HA_T1,a6998,Treatment,,Social,Aggression,Novel,Predator,0.783481,1762.83,9.79376,22036,19.5566,44022,0.079998,1,0.079998,0.00392126,40,20.9595,1.02737,19,34.2391,1.6783,47,15.5996,0.764646,48,14.0796,0.690142,38,24.4794,1.19991,44,15.3596,0.752882,15,40.479,1.98416,45,14.8796,0.729355,23,64.4784,3.16054,43,40.319,1.97632,21,75.2781,3.68991,1,180.075,8.82676,167.516
Acclimation,Tuesday,,P,8,male,Blu.Whi,9,2,HA_T1,a6998,Treatment,,Novel,Social,Predator,Aggression,0.533438,1200.24,6.66814,15003.3,14.2173,32003.1,48.7988,1,48.7988,2.39197,6,2.95993,0.145087,1,50.8787,2.49392,61,37.3591,1.83123,69,36.4791,1.7881,4,2.23994,0.109795,36,32.1592,1.57635,0,0,0,27,17.9995,0.882284,27,73.4382,3.59972,42,94.7976,4.64669,16,11.8397,0.580347,1,180.075,8.82676,128.797
Acclimation,Friday,,U,5,male,Blu.Whi,4,2,HA_T1,a6998,Treatment,,Aggression,Social,Predator,Novel,0.824067,1854.15,10.3011,23177.5,19.0639,42912.9,-,0,0,0,35,28.2393,1.38421,9,8.23979,0.40389,58,21.0395,1.03129,60,24.7194,1.21167,36,29.2793,1.43518,56,26.6393,1.30578,10,18.6395,0.913654,54,23.2794,1.14109,27,53.9986,2.64685,55,61.9984,3.03898,28,64.0784,3.14093,1,180.075,8.82676,177.836
Acclimation,Monday,29/07/2019,H,8,male,Blu.Yel,1,2,HA_C1,a7002,Control,,Novel,Aggression,Social,Predator,0.613753,1380.95,7.67211,17262.2,12.6424,28457.9,-,0,0,0,39,30.6392,1.50184,22,73.2782,3.59188,25,12.1597,0.596032,26,12.1597,0.596032,20,10.6397,0.521528,30,19.4395,0.952866,9,9.19977,0.450945,24,12.5597,0.615638,14,116.797,5.72504,28,34.9591,1.71359,14,28.3193,1.38813,1,180.075,8.82676,170.556
