Time,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,Phase1,Phase2,Phase3,Phase4,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
13-16,Tuesday,30/07/2019,A,1,male,Bro.Ora,1,1,HA_C3,Control,a7361,,Social,Novel,Aggression,Predator,2032.33,11.291,16.745,37676.1,0.159996,24.0794,47.5188,15.9196,13.5197,29.8393,16.4796,14.8796,17.7596,82.2379,40.639,57.1186,179.995,169.676
13-16,Tuesday,30/07/2019,A,1,male,Red._,2,1,HA_C3,Control,a7611,,Social,Novel,Aggression,Predator,1950.25,10.835,20.1667,45375.1,0,13.9996,36.7991,20.4795,13.1997,32.5592,11.8397,29.5993,21.5195,57.8386,45.6789,76.4781,179.995,174.076
13-16,Tuesday,30/07/2019,A,1,female,Whi.Pin,3,1,HA_C3,Control,a7232,,Social,Novel,Aggression,Predator,1395.37,7.75228,18.0038,40508.6,0,31.0392,38.399,9.91975,12.2397,28.0793,17.3596,30.2392,12.7197,81.518,30.7992,67.6783,179.995,165.676
13-16,Tuesday,30/07/2019,A,1,female,Pur.Gre,4,1,HA_T3,Treatment,a7160,,Social,Novel,Aggression,Predator,1442.72,8.01529,12.0588,27132.3,0.639984,32.5592,75.6781,8.1598,12.5597,14.5596,23.9194,4.23989,8.31979,124.477,31.2792,24.2394,179.995,161.756
13-16,Tuesday,30/07/2019,A,1,female,_.Blu,5,1,HA_T3,Treatment,a7459,,Social,Novel,Aggression,Predator,1317.28,7.31843,15.9156,35810.1,0,29.9992,48.1588,12.3997,16.2396,19.5195,20.8795,20.6395,12.1597,91.4377,39.999,48.5588,179.995,167.916
13-16,Tuesday,30/07/2019,A,1,female,Gre.Yel,6,1,HA_C4,Control,a6971,,Social,Novel,Aggression,Predator,1044.6,5.80346,22.3243,50229.7,0,21.8395,28.6393,11.9997,11.5197,27.9993,10.2397,52.6387,15.1196,57.8386,30.2392,91.9177,179.995,158.796
13-16,Tuesday,30/07/2019,A,1,male,_.Yel,7,1,HA_C4,Control,a6807,,Social,Novel,Aggression,Predator,1738.22,9.65703,21.0589,47382.6,0,10.2397,2.39994,37.4391,28.3993,33.5992,17.1996,0.319992,50.3987,23.1194,87.5178,69.3583,179.995,178.636
13-16,Tuesday,30/07/2019,A,1,female,Pur.Red,8,1,HA_C4,Control,a7578,,Social,Novel,Aggression,Predator,1316.97,7.31669,18.2275,41011.9,0,35.9991,32.0792,13.8397,11.1997,25.5194,15.1996,33.8392,12.3197,78.798,33.4392,67.7583,179.995,173.436
13-16,Tuesday,30/07/2019,A,1,male,Bro.Yel,9,1,HA_T4,Treatment,a7728,,Social,Novel,Aggression,Predator,1833.44,10.1861,18.1998,40949.5,0,27.6793,17.9196,20.9595,15.9196,35.2791,30.1592,8.63978,23.4394,66.3183,53.8387,59.8385,179.995,175.676
13-16,Tuesday,30/07/2019,A,1,male,Bla.Pin,10,1,HA_T4,Treatment,a7138,,Social,Novel,Aggression,Predator,1461.36,8.11889,17.2032,38707.3,0.319992,25.1994,40.319,15.0396,14.8796,24.6394,19.1995,24.4794,16.2396,77.1981,43.4389,59.3585,179.995,166.636
20-23,Monday,29/07/2019,A,1,male,Ora.Bla,1,1,HA_C1,Control,a7403,,Social,Novel,Aggression,Predator,959.143,5.32871,4.22518,9506.66,0.159996,13.5197,164.476,0.719982,0.719982,0,0.559986,0,0,178.396,1.59996,0,179.995,159.116
20-23,Monday,29/07/2019,A,1,female,Blu.Blu,2,1,HA_C1,Control,a7659,,Social,Novel,Aggression,Predator,1563.75,8.6877,13.1322,29547.3,0.39999,31.7592,60.5585,10.7997,14.1596,13.3597,22.7994,16.0796,10.4797,107.117,35.8391,37.0391,179.995,170.716
20-23,Monday,29/07/2019,A,1,male,Red.Yel,3,1,HA_C1,Control,a7563,,Social,Novel,Aggression,Predator,1473.24,8.18488,7.07421,15917,0,39.839,100.797,5.27987,7.19982,5.67986,15.1196,0.39999,5.67986,151.916,18.5595,9.51976,179.995,172.956
20-23,Monday,29/07/2019,A,1,female,Ora.Ora,4,1,HA_T1,Treatment,a7379,,Social,Novel,Aggression,Predator,1592.59,8.84794,8.09025,18203.1,0.159996,34.5591,103.837,6.07985,5.43986,7.43981,15.4396,0,7.19982,150.716,16.9596,12.3197,179.995,169.516
