,Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
235,Predator,Friday,NA,Q,1,female,Pin.Blu,9,1,HA_T2,Treatment,a7288,NA,1041.06,5.78383,17.8545,40172.6,8.00E-02,0.079998,34.7191,37.999,9.99975,10.7997,18.5595,16.1596,39.919,11.8397,85.0379,27.1193,67.8383,179.995,161.356
236,Predator,Friday,NA,R,2,male,Bro.Gre,9,1,HA_T2,Treatment,a7724,NA,1621.64,9.00936,13.2198,29744.6,-,0,36.4791,59.1185,12.0797,12.3197,21.0395,17.8396,7.19982,13.9197,107.837,34.6391,37.5191,179.995,178.156
237,Predator,Friday,NA,S,3,female,Pur.Pur,9,1,HA_T2,Treatment,a6932,NA,983.598,5.46457,26.592,59832.1,8.00E-02,0.159996,5.11987,2.63993,22.6394,12.5597,47.6788,11.3597,50.8787,27.1193,13.3597,51.9187,114.717,179.995,155.916
238,Predator,Friday,NA,Q,1,female,Whi._,10,1,HA_T2,Treatment,a8050,NA,2120.55,11.7916,16.4268,36943.9,-,0,40.319,19.8395,17.0396,18.6395,28.2393,29.6793,7.59981,18.6395,79.998,51.5187,48.4788,179.995,178.556
239,Predator,Friday,NA,R,2,female,Red.Ora,10,1,HA_T2,Treatment,a7089,NA,1036.99,5.76119,16.1606,36361.3,8.00E-02,0.079998,19.9195,47.9188,16.3996,15.6796,22.7994,22.7194,17.9995,16.5596,83.7579,43.3589,52.8787,179.995,169.116
240,Predator,Friday,NA,S,3,male,Pur._,10,1,HA_T2,Treatment,a7167,NA,1703.53,9.4643,18.4498,41512,8.00E-02,0.079998,27.3593,11.9197,21.1995,17.5996,43.9189,29.2793,3.59991,25.1194,61.3585,53.4387,65.1984,179.995,175.996
241,Predator,Monday,29/07/2019,B,2,female,Whi.Pur,1,1,HA_C1,Control,a7376,NA,1193.2,6.62905,21.7275,48886.9,-,0,0.479988,0,68.5583,23.1994,18.9595,7.51981,0,61.2785,4.1599,122.877,52.9587,179.995,176.956
242,Predator,Monday,29/07/2019,C,3,male,Ora.Bro,1,1,HA_C1,Control,a7152,NA,1925.23,10.7151,8.8521,19890.7,-,0,61.0385,72.7182,4.47989,5.27987,7.9998,21.1995,4.0799,3.19992,150.636,15.0396,14.3196,179.995,175.836
243,Predator,Monday,29/07/2019,B,2,female,Gre.Gre,2,1,HA_C1,Control,a7698,NA,1486.41,8.25802,8.7812,19757.7,-,0,67.7583,51.4387,7.19982,11.6797,6.47984,28.8793,0.39999,6.15985,141.196,27.3593,11.4397,179.995,174.076
244,Predator,Monday,29/07/2019,C,3,female,Bro.Bla,2,1,HA_C1,Control,a7082,NA,1689.25,9.38494,10.3061,23188.7,-,0,55.1986,63.9984,9.67976,11.6797,10.3197,18.4795,3.35992,7.27982,133.197,27.9993,18.7995,179.995,175.036
245,Predator,Monday,29/07/2019,B,2,male,Gre.Yel,3,1,HA_C1,Control,a6859,NA,1839.37,10.219,15.2608,34336.7,-,0,43.6789,33.4392,15.5996,15.4396,27.7593,19.1995,8.31979,16.5596,89.9178,42.5589,47.5188,179.995,178.396
246,Predator,Monday,29/07/2019,C,3,female,Yel.Red,3,1,HA_C1,Control,a8068,NA,1275.72,7.0875,8.42527,18956.9,-,0,45.9189,91.3577,4.55989,7.59981,6.63983,16.5596,3.67991,3.67991,147.836,19.4395,12.7197,179.995,170.396
247,Predator,Monday,29/07/2019,B,2,male,Bla._,4,1,HA_T1,Treatment,a7599,NA,1178.4,6.54685,23.8118,53576.6,2.51994,5.03987,20.9595,2.71993,14.2396,12.7997,61.5985,19.7595,27.7593,20.1595,38.399,37.8391,103.757,179.995,156.076
248,Predator,Monday,29/07/2019,C,3,male,Ora._,4,1,HA_T1,Treatment,a7155,NA,1415.38,7.86344,18.7204,42120.8,-,0,32.3992,18.1595,14.9596,18.3195,25.6794,25.8394,27.8393,16.7996,66.3183,48.7188,64.9584,179.995,172.476
249,Predator,Monday,29/07/2019,B,2,female,Gre.Gre,5,1,HA_T1,Treatment,a7292,NA,1329.31,7.38526,14.3142,32206.9,-,0,50.0787,24.6394,8.23979,12.0797,26.5593,33.6792,12.2397,12.4797,99.1175,31.8392,49.0388,179.995,174.956
250,Predator,Monday,29/07/2019,C,3,male,_.Whi,5,1,HA_T1,Treatment,a7269,NA,1758.27,9.78146,17.287,38861.1,-,0,28.3193,17.1996,18.7195,19.4395,29.6793,33.0392,12.7197,20.8795,66.8783,57.5986,55.5186,179.995,176.076
251,Predator,Monday,29/07/2019,B,2,female,Blu.Yel,6,1,HA_C2,Control,a6881,NA,1500.69,8.33735,25.0246,56305.3,18.9595,18.9595,16.7196,5.19987,13.1197,9.99975,77.5981,10.3997,25.9194,21.0395,29.1193,32.2392,118.637,179.995,154.956
252,Predator,Monday,29/07/2019,C,3,female,_.Pin,6,1,HA_C2,Control,a7549,NA,1121.88,6.23281,15.6272,35161.3,-,0,52.8787,29.3593,9.19977,10.1597,20.3195,21.5195,25.1194,11.4397,97.5176,28.8793,53.5987,179.995,172.716
253,Predator,Monday,29/07/2019,B,2,male,Red.Bro,7,1,HA_C2,Control,a7474,NA,1329.91,7.38858,6.56142,14763.2,-,0,81.598,68.7183,2.79993,3.9199,0,22.4794,0,0.479988,168.236,11.7597,0,179.995,173.596
254,Predator,Monday,29/07/2019,C,3,male,Whi.Yel,7,1,HA_C2,Control,a7370,NA,1754.76,9.7489,20.0724,45162.8,-,0,22.4794,13.1197,16.4796,18.9595,50.4787,18.7195,13.9996,25.7594,47.6788,48.7988,83.5179,179.995,175.276
255,Predator,Monday,29/07/2019,B,2,male,Ora.Pin,8,1,HA_C2,Control,a7408,NA,1247.42,6.93031,8.99468,20238,8.00E-02,0.079998,65.8384,68.7983,5.67986,7.19982,9.51976,15.1996,1.59996,6.15985,145.756,18.8795,15.3596,179.995,175.676
256,Predator,Monday,29/07/2019,C,3,female,Blu.Ora,8,1,HA_C2,Control,a7204,NA,1632.99,9.07238,19.2078,43217.6,-,0,23.6794,15.6796,23.2794,20.8795,29.9193,20.1595,21.1195,25.2794,52.2387,59.2785,68.4783,179.995,177.676
257,Predator,Monday,29/07/2019,B,2,male,Ora.Yel,9,1,HA_T2,Treatment,a7411,NA,1436.01,7.97804,7.82528,17606.9,-,0,60.7185,82.5579,3.9999,5.51986,5.83985,16.2396,1.35997,3.75991,157.036,13.0397,9.91975,179.995,170.556
258,Predator,Monday,29/07/2019,C,3,male,Bro.Blu,10,1,HA_T2,Treatment,a7251,22 Sec Delay,1371.87,7.6217,17.9855,40467.5,0.479988,0.959976,30.7992,14.5596,23.2794,21.0395,28.0793,22.8794,8.23979,31.1192,59.3585,67.5183,53.1187,179.995,167.836
259,Predator,Monday,29/07/2019,B,2,male,Blu.Bla,11,1,HA_T2,Treatment,a7461,"RE-RUN, Covers fell down towards end, may exclude",1831.68,10.1763,20.4518,46016.7,-,0,26.0793,25.4394,12.1597,12.7197,33.2792,13.2797,42.7989,14.2396,60.5585,33.3592,86.0778,179.995,169.196
260,Predator,Monday,29/07/2019,C,3,female,Pin.Pin,11,1,HA_T2,Treatment,a6840,"RE-RUN, Covers fell down towards end, may exclude (also missing label)",981.543,5.45315,27.5226,61925.9,2.67993,16.0796,3.75991,1.75996,10.3997,9.99975,67.1983,17.8396,54.4786,14.5596,16.1596,33.0392,130.797,179.995,123.997
261,Predator,Tuesday,30/07/2019,B,2,female,Pin.Blu,1,1,HA_C3,Control,a7552,NA,1321.51,7.34192,11.3256,25482.7,-,0,54.6386,40.799,15.5196,15.9196,11.7597,30.7192,0,10.6397,117.917,42.7189,19.3595,179.995,175.116
262,Predator,Tuesday,30/07/2019,C,3,male,Pur._,1,1,HA_C3,Control,a7730,NA,1875.76,10.4211,15.9816,35958.6,-,0,38.559,30.7992,18.5595,21.1995,24.5594,20.8795,6.71983,18.7195,82.7979,52.8787,44.3189,179.995,177.676
263,Predator,Tuesday,30/07/2019,B,2,female,Red.Red,2,1,HA_C3,Control,a7497,NA,1188.72,6.60417,22.8155,51334.8,3.37134,23.5994,23.3594,19.2795,12.2397,8.79978,47.9188,10.3197,44.7989,13.2797,49.5988,28.4793,101.917,179.995,131.677
264,Predator,Tuesday,30/07/2019,C,3,male,Red.Bro,2,1,HA_C3,Control,a7564,NA,1281.01,7.11688,14.5944,32837.5,-,0,39.279,38.639,13.7597,16.1596,23.9194,27.4393,3.75991,17.0396,98.0775,42.3989,39.519,179.995,177.996
265,Predator,Tuesday,30/07/2019,B,2,female,Blu.Gre,3,1,HA_C3,Control,a6885,NA,1177.54,6.54205,13.5476,30482.2,27.1193,54.2386,50.9587,56.9586,6.39984,4.95988,15.9196,19.5995,18.4795,6.71983,124.717,17.0396,38.239,179.995,121.197
