"","X","Time","Day","Date","Video","Arena","Sex","Mark","Session","Camera","Tank","Group","Fish_ID","Notes","tot_dist","mean_speed","mean_dist_05","tot_dist_05","freeze_mean","freeze_dur","zone_510_dur","zone_05_dur","zone_2025_dur","zone_1520_dur","zone_3035_dur","zone_1015_dur","zone_3540_dur","zone_2530_dur","zone_near_dur","zone_middle_dur","zone_far_dur","arena_dur","moving_dur"
"155",1595,"13-16","Tuesday",NA,"L",4,"female","Bro.Yel",9,1,"HA_T1","Treatment","a7087",NA,705.039,3.91698,3.55954,8008.96,"-",0,11.2797,168.396,0,0,0,0.319992,0,0,179.995,0,0,179.995,156.076
"156",1596,"13-16","Tuesday",NA,"P",8,"male","Blu.Whi",9,2,"HA_T1","Treatment","a6998",NA,825.235,4.58475,3.49522,7864.24,"7.9998E-2",0.319992,4.23989,174.956,0.319992,0.239994,0,0.239994,0,0,179.356,0.639984,0,179.995,147.996
"157",1597,"13-16","Tuesday",NA,"J",2,"female","Bro.Bro",10,1,"HA_T1","Treatment","a7662",NA,567.709,3.15402,5.05919,11383.2,"0.14399600000000001",1.43996,6.55984,166.556,0.39999,1.03997,1.51996,2.39994,0.719982,0.79998,174.956,2.23994,2.79993,179.995,100.157
"158",1598,"13-16","Tuesday",NA,"K",3,"male","Gre.Bro",10,1,"HA_T1","Treatment","a7683",NA,2125.49,11.8085,19.5252,43931.7,"-",0,15.6796,38.879,14.4796,12.3997,34.0791,13.4397,29.6793,21.3595,63.4384,38.399,78.158,179.995,173.116
"159",1599,"13-16","Tuesday",NA,"L",4,"male","Bla._",10,1,"HA_T1","Treatment","a7599",NA,598.039,3.32252,25.1408,56566.7,"23.0594",92.2377,15.2796,17.1196,7.43981,7.11982,61.9984,9.51976,55.9986,5.51986,38.399,19.8395,121.757,179.995,78.958
"160",1600,"13-16","Tuesday",NA,"P",8,"male","Red.Red",10,2,"HA_T1","Treatment","a7468",NA,417.795,2.32114,8.80707,19815.9,"0.24888299999999999",2.23994,1.91995,139.917,6.31984,1.91995,13.1197,0.639984,8.0798,8.0798,142.236,11.6797,26.0793,179.995,96.3176
"161",1601,"13-16","Wednesday",NA,"J",2,"male","Red.Bro",1,1,"HA_C2","Control","a7474",NA,1396.82,7.76033,8.36223,18815,"-",0,19.7595,122.957,5.11987,4.63988,13.1197,6.31984,1.59996,6.47984,147.036,13.4397,19.5195,179.995,163.836
"162",1602,"13-16","Wednesday",NA,"K",3,"male","Pur._",1,1,"HA_C2","Control","a7056",NA,512.628,2.84801,3.59043,8078.47,"7.9998E-2",0.319992,10.3997,169.596,0,0,0,0,0,0,179.995,0,0,179.995,118.077
"163",1603,"13-16","Wednesday",NA,"L",4,"female","Blu.Ora",1,1,"HA_C2","Control","a7204",NA,192.041,1.06692,5.59226,12582.6,"13.3597",106.877,0.39999,177.516,0.319992,0.319992,0.319992,0.239994,0,0.879978,178.076,0.879978,1.03997,179.995,46.0788
"164",1604,"13-16","Wednesday",NA,"P",8,"male","Pin.Yel",1,2,"HA_C2","Control","a6847",NA,1313.71,7.29856,8.84191,19894.3,"11.3597",11.3597,26.7993,111.757,5.11987,6.63983,4.47989,13.3597,7.03982,4.79988,147.756,17.6796,14.5596,179.995,153.276
