Phase,Day,Date,Video_ID,Arena,Sex,Mark,Session,Camera,Origin,Fish_ID,Group,Notes,Phase1,Phase2,Phase3,Phase4,tot_dist_Activity,mean_speed_Activity,mean_dist_05_Activity,tot_dist_05_Activity,freeze_dur_Activity,zone_510_dur_Activity,zone_05_dur_Activity,zone_2025_dur_Activity,zone_1520_dur_Activity,zone_3035_dur_Activity,zone_1015_dur_Activity,zone_3540_dur_Activity,zone_2530_dur_Activity,zone_near_dur_Activity,zone_middle_dur_Activity,zone_far_dur_Activity,arena_dur_Activity,moving_dur_Activity
Post-assay,Thursday,12/09/2019,U,5,male,Blu.Pin,4,2,HA_T3,a6882,Treatment,,Aggression,Social,Predator,Novel,1771.07,9.85267,12.6376,28409.2,68.7183,18.9595,90.7977,9.99975,9.75976,14.7996,12.0797,11.1997,12.3997,117.837,27.2793,34.8791,179.995,100.317
Post-assay,Monday,29/07/2019,H,8,female,Blu.Ora,11,2,HA_T2,a6883,Treatment,"RE-RUN, Covers fell down towards end, may exclude",Novel,Aggression,Social,Predator,143.268,0.795954,7.5132,16904.7,164.636,3.67991,174.236,0.559986,0.319992,0,0.79998,0,0.39999,178.476,1.51996,0,179.995,12.7997
Post-assay,Friday,13/09/2019,X,8,female,Blu.Ora,10,2,HA_T2,a6883,Treatment,,Predator,Social,Novel,Aggression,791.017,4.39465,13.8767,31222.5,21.2795,29.9193,82.3179,6.47984,4.71988,29.1993,5.51986,2.07995,19.7595,115.757,15.7596,48.4788,179.995,94.2376
Post-assay,Wednesday,21/08/2019,K,3,female,Blu.Ora,5,1,HA_T2,a6883,Treatment,,Predator,Social,Aggression,Novel,1882.38,10.4579,5.65611,12726.2,0,67.3583,95.2776,1.67996,1.59996,4.23989,6.63983,0.319992,2.87993,168.076,5.67986,6.23984,179.995,175.356
Post-assay,Tuesday,30/07/2019,B,2,female,Blu.Gre,3,1,HA_C3,a6885,Control,,Novel,Aggression,Predator,Social,1014.33,5.63529,18.1787,40902.1,69.9982,12.4797,79.758,3.43991,3.59991,16.7196,4.63988,52.7187,6.63983,95.3576,10.1597,74.4781,179.995,99.6775
Post-assay,Thursday,12/09/2019,V,6,female,Blu.Gre,2,2,HA_C3,a6885,Control,,Aggression,Novel,Predator,Social,1029.87,5.72165,11.3026,25430.9,61.2785,19.8395,120.157,2.63993,3.27992,13.7597,5.35987,10.8797,4.0799,143.916,8.23979,27.8393,179.995,100.397
Post-assay,Wednesday,21/08/2019,P,8,female,Blu.Gre,6,2,HA_C3,a6885,Control,,Novel,Social,Predator,Aggression,513.8,2.85451,6.77922,15253.2,100.637,16.7196,150.396,1.67996,2.07995,3.51991,3.11992,0.239994,2.23994,169.036,5.67986,5.27987,179.995,52.5587
Post-assay,Tuesday,30/07/2019,E,5,male,Blu.Bla,10,2,HA_T4,a6891,Treatment,,Social,Predator,Aggression,Novel,1320.38,7.33561,11.4545,25772.5,0.079998,23.3594,92.7177,11.2797,11.8397,8.31979,15.6796,6.47984,10.3197,126.557,31.8392,21.5995,179.995,156.556
Post-assay,Thursday,12/09/2019,X,8,male,Blu.Bla,9,2,HA_T4,a6891,Treatment,,Predator,Social,Novel,Aggression,5.75044,0.0319477,31.2751,70369,178.636,0,0,0,0,179.995,0,0,0,0,0,179.995,179.995,0
Post-assay,Tuesday,20/08/2019,P,8,male,Blu.Bla,3,2,HA_T4,a6891,Treatment,,Novel,Social,Predator,Aggression,1752.05,9.73818,17.4646,39277.9,0,20.3995,38.079,19.6795,18.0795,29.8393,18.4795,14.2396,21.1995,70.3182,51.1187,58.5585,179.995,176.876
Post-assay,Monday,29/07/2019,F,6,female,Red.Pin,4,2,HA_T1,a6894,Treatment,,Predator,Aggression,Novel,Social,1649.42,9.1637,14.333,32249.2,44.1589,38.879,57.5986,13.7597,7.67981,22.7994,9.75976,6.71983,22.7994,103.117,32.2392,44.6389,179.995,131.037
Post-assay,Friday,13/09/2019,R,2,female,Red.Pin,4,1,HA_T1,a6894,Treatment,,Novel,Predator,Social,Aggression,666.922,3.70522,4.71099,10599.7,99.5975,13.8397,163.836,0,0.479988,0,1.83995,0,0,179.276,0.719982,0,179.995,67.5983
Post-assay,Tuesday,20/08/2019,O,7,female,Red.Pin,9,2,HA_T1,a6894,Treatment,,Predator,Novel,Aggression,Social,59.5899,0.331064,35.2175,79239.3,154.316,0,0,0,0,2.47994,0,177.516,0,0,0,179.995,179.995,6.39984
Post-assay,Monday,29/07/2019,D,4,female,Red.Red,2,1,HA_C1,a6899,Control,,Social,Aggression,Novel,Predator,1650.63,9.1704,18.8572,42428.7,0.079998,26.2393,21.7595,21.0395,17.3596,35.9991,20.3995,12.9597,24.2394,61.4385,53.4387,65.1184,179.995,177.836
Post-assay,Friday,13/09/2019,W,7,female,Red.Red,1,2,HA_C1,a6899,Control,,Predator,Novel,Social,Aggression,1817.57,10.1159,19.8926,44698.6,0,24.1594,19.5995,17.8396,17.2796,29.7593,22.5594,28.4793,20.3195,59.1185,49.1988,71.5982,179.995,177.196
Post-assay,Tuesday,20/08/2019,P,8,female,Red.Red,7,2,HA_C1,a6899,Control,,Novel,Social,Predator,Aggression,1388.75,7.7155,21.9585,49406.6,0,7.11982,0,29.1193,24.4794,45.2789,28.7993,15.5996,29.5993,25.7594,73.1182,81.118,179.995,179.356
Post-assay,Monday,29/07/2019,E,5,female,Bla.Pur,4,2,HA_T1,a6925,Treatment,,Social,Predator,Aggression,Novel,1306.79,7.26011,17.5899,39577.2,23.3594,34.7191,19.4395,42.3189,14.9596,26.7193,15.5196,1.43996,24.8794,64.5584,70.7182,44.7189,179.995,143.356
Post-assay,Friday,13/09/2019,W,7,female,Bla.Pur,4,2,HA_T1,a6925,Treatment,,Predator,Novel,Social,Aggression,1120.49,6.22509,13.9157,31310.2,5.75986,51.1187,39.919,26.5593,12.3197,19.1195,13.2797,0.079998,17.5996,99.8375,50.8787,29.2793,179.995,147.276
Post-assay,Tuesday,20/08/2019,J,2,female,Bla.Pur,9,1,HA_T1,a6925,Treatment,,Novel,Social,Aggression,Predator,554.372,3.07992,8.53625,19206.6,13.4397,91.1977,27.0393,0.879978,2.07995,0,58.7985,0,0,174.076,5.91985,0,179.995,80.398
Post-assay,Tuesday,30/07/2019,H,8,female,Pur._,7,2,HA_C4,a6930,Control,,Novel,Aggression,Social,Predator,1557.2,8.65134,23.3079,52442.7,0,3.19992,0,36.6391,20.4795,49.1988,13.2797,1.11997,56.0786,11.1997,78.558,90.2377,179.995,178.636
Post-assay,Thursday,12/09/2019,R,2,female,Pur._,8,1,HA_C4,a6930,Control,,Novel,Predator,Social,Aggression,827.095,4.59509,8.95345,20145.3,66.7983,89.8378,60.3185,3.43991,3.43991,7.67981,6.55984,4.0799,4.63988,154.956,10.0797,14.9596,179.995,79.678
Post-assay,Tuesday,20/08/2019,K,3,female,Pur._,1,1,HA_C4,a6930,Control,,Predator,Social,Aggression,Novel,1434.74,7.97098,10.1291,22790.6,0.79998,11.3597,119.917,4.23989,3.43991,23.9994,4.47989,6.47984,6.07985,133.997,10.9597,35.0391,179.995,161.996
Post-assay,Monday,29/07/2019,F,6,female,Pur.Pur,9,2,HA_T2,a6932,Treatment,,Predator,Aggression,Novel,Social,634.853,3.52705,5.23704,11783.3,0.319992,29.1993,142.076,0,2.23994,0,6.47984,0,0,177.116,2.87993,0,179.995,127.117
Post-assay,Friday,13/09/2019,S,3,female,Pur.Pur,9,1,HA_T2,a6932,Treatment,,Aggression,Predator,Social,Novel,728.45,4.57811,20.2742,40426.7,0,16.2396,4.79988,33.7592,22.2394,26.1593,20.6395,8.23979,28.7993,34.7191,76.3181,49.8388,160.876,124.157
Post-assay,Wednesday,21/08/2019,L,4,female,Pur.Pur,4,1,HA_T2,a6932,Treatment,,Aggression,Social,Novel,Predator,368.398,2.04671,14.0106,31523.9,84.0779,95.2776,6.39984,6.23984,4.71988,32.4792,5.03987,12.2397,17.5996,105.037,16.4796,58.4785,179.995,77.6781
Post-assay,Tuesday,30/07/2019,G,7,female,Ora.Blu,8,2,HA_T4,a6961,Treatment,,Social,Predator,Novel,Aggression,1212.58,6.73671,19.3862,43618.9,0,20.3995,33.2792,15.0396,15.6796,33.5192,19.0395,27.6793,15.3596,65.1984,42.7189,72.0782,179.995,171.756
Post-assay,Thursday,12/09/2019,Q,1,female,Ora.Blu,10,1,HA_T4,a6961,Treatment,,Aggression,Predator,Novel,Social,540.58,3.00329,31.4953,70864.4,12.1597,0,0,3.8399,3.27992,64.3184,0.719982,97.9176,9.91975,0,10.0797,169.916,179.995,102.957
Post-assay,Tuesday,20/08/2019,I,1,female,Ora.Blu,5,1,HA_T4,a6961,Treatment,,Aggression,Novel,Social,Predator,250.49,1.39165,32.9141,74056.7,106.557,0,0,2.95993,1.75996,68.4783,1.11997,101.037,4.63988,0.719982,6.39984,172.876,179.995,34.3191
Post-assay,Monday,29/07/2019,A,1,male,Ora.Bro,6,1,HA_C2,a6967,Control,,Social,Novel,Aggression,Predator,1236.37,6.86891,13.2812,29882.8,15.0396,23.1994,77.0381,11.9997,11.5197,17.1196,14.6396,12.4797,11.9997,109.757,32.3992,37.8391,179.995,146.396
Post-assay,Friday,13/09/2019,R,2,male,Ora.Bro,7,1,HA_C2,a6967,Control,,Novel,Predator,Social,Aggression,1502.78,8.34898,20.8466,46904.8,0,15.1196,37.2791,13.5197,11.7597,25.0394,12.7197,50.1587,14.3996,60.4785,34.0791,85.1979,179.995,160.396
Post-assay,Wednesday,21/08/2019,J,2,male,Ora.Bro,3,1,HA_C2,a6967,Control,,Novel,Social,Aggression,Predator,961.046,5.33928,23.4971,52868.4,104.717,9.99975,21.9195,3.9999,3.51991,49.2788,4.1599,4.87988,82.2379,34.6391,10.5597,134.797,179.995,69.1183
Post-assay,Tuesday,30/07/2019,A,1,female,Gre.Yel,6,1,HA_C4,a6971,Control,,Social,Novel,Aggression,Predator,989.106,5.49517,20.8669,46950.5,0.319992,13.9996,40.399,15.5196,10.7197,31.6792,9.75976,35.8391,22.0794,60.7985,36.3191,82.8779,179.995,166.716
Post-assay,Thursday,12/09/2019,T,4,female,Gre.Yel,7,1,HA_C4,a6971,Control,,Predator,Aggression,Social,Novel,1197.62,6.65358,24.5842,55314.3,1.19997,8.1598,12.4797,21.5995,9.59976,56.2386,11.5197,20.0795,40.319,28.3193,46.7988,104.877,179.995,160.636
Post-assay,Tuesday,20/08/2019,K,3,female,Gre.Yel,3,1,HA_C4,a6971,Control,,Predator,Social,Aggression,Novel,1283.62,7.13139,21.8071,49065.9,0,17.7596,29.4393,14.2396,10.7997,45.9988,11.5197,28.9593,21.2795,54.8786,37.1991,87.9178,179.995,157.836
Post-assay,Monday,29/07/2019,D,4,male,Red.Pin,3,1,HA_C1,a6985,Control,,Social,Aggression,Novel,Predator,705.557,3.91986,18.5275,41686.8,104.317,72.3982,18.0795,5.83985,5.75986,63.0384,5.67986,1.19997,7.9998,94.1576,15.9996,69.8383,179.995,65.1184
