Time,Video_ID,Arena,Day,Camera,Session,Tank,Group,Mark,Sex,Fish_ID,Date,Notes,tot_dist,mean_speed,freeze Not Moving / center-point Frequency,freeze Not Moving / center-point Cumulative Duration s,in_det_zone 5-10cm / center-point Frequency,in_det_zone 5-10cm / center-point Cumulative Duration s,in_det_zone 0-5cm / center-point Frequency,zone_05_dur,in_det_zone 20-25cm / center-point Frequency,in_det_zone 20-25cm / center-point Cumulative Duration s,in_det_zone 15-20cm / center-point Frequency,in_det_zone 15-20cm / center-point Cumulative Duration s,in_det_zone 30-35cm / center-point Frequency,in_det_zone 30-35cm / center-point Cumulative Duration s,in_det_zone 10-15cm / center-point Frequency,in_det_zone 10-15cm / center-point Cumulative Duration s,in_det_zone 35-40cm / center-point Frequency,in_det_zone 35-40cm / center-point Cumulative Duration s,in_det_zone 25-30cm / center-point Frequency,in_det_zone 25-30cm / center-point Cumulative Duration s,in_zone Near / center-point Frequency,in_zone Near / center-point Cumulative Duration s,in_zone Middle / center-point Frequency,in_zone Middle / center-point Cumulative Duration s,in_zone Far / center-point Frequency,in_zone Far / center-point Cumulative Duration s,risk_3 Arena / center-point Cumulative Duration s,move Moving / center-point Cumulative Duration s
9-12,4.3,7,Monday,2,6,HA_T3,Treatment,Red.Bla,female,a7091,9/09/2019,,185.733,1.03185,3,163.04,5,1.6,3,2.79999,4,0.72,4,0.559998,6,170.72,4,0.639998,3,2.07999,4,0.879996,2,4.79999,4,1.84,3,173.36,180,12
9-12,1.1,1,Monday,1,7,HA_T3,Treatment,_.Whi,male,a8070,9/09/2019,,897.374,4.98542,0,0,12,9.03998,10,161.28,6,1.99999,6,2.32,1,0.719998,6,2.23999,0,0,4,2.39999,4,171.84,5,6.07998,2,2.07999,180,158.8
9-12,1.2,2,Monday,1,7,HA_T3,Treatment,Ora.Yel,female,a7484,9/09/2019,,1624.37,9.02433,0,0,53,40.2399,31,42.5599,33,12,36,15.28,27,22.7999,42,19.92,10,10.72,33,16.48,22,96.8798,38,38.0799,17,45.0399,180,177.84
9-12,1.3,3,Monday,1,7,HA_T3,Treatment,Whi.Whi,female,a7640,9/09/2019,,1813.8,10.0902,0,0,39,18.4,23,108,30,7.75998,31,9.11998,15,13.76,33,10.88,3,1.44,27,10.64,18,133.92,32,23.4399,15,22.6399,180,174.48
9-12,1.4,4,Monday,1,7,HA_T3,Treatment,Pin.Pur,male,a6842,9/09/2019,,1209.7,6.7206,0,0,56,56.6399,24,26.8799,9,6.63998,28,27.9999,0,0,54,55.8399,0,0,4,5.99998,27,118.16,30,60.1598,2,1.67999,180,165.36
9-12,2.1,5,Monday,2,7,HA_T3,Treatment,Red.Bro,male,a7045,9/09/2019,,869.023,4.82792,1,0.079999,20,15.28,15,138.08,8,3.51999,8,3.51999,7,6.07998,10,4.63999,3,3.91999,8,4.95999,5,156.8,8,9.67997,4,13.52,180,150.64
9-12,2.2,6,Monday,2,7,HA_T3,Treatment,Gre.Gre,female,a7019,9/09/2019,,1183.05,6.57254,0,0,48,54.1599,34,71.1998,11,7.19998,16,13.04,7,7.35998,24,17.2,3,3.27999,9,6.55998,10,138.16,17,26.9599,7,14.88,180,176
9-12,2.4,8,Monday,2,7,HA_T3,Treatment,_.Ora,male,a7414,9/09/2019,,1607.4,8.93003,0,0,50,50.3199,21,24.2399,38,19.5999,48,22.9599,11,7.75998,55,33.9999,2,6.95998,25,14.16,30,97.4398,44,58.8798,15,23.6799,180,176.32
9-12,4.3,7,Monday,2,7,HA_T3,Treatment,Bla.Whi,male,a7139,9/09/2019,,972.364,5.41406,2,46.3199,26,13.44,18,97.7598,12,2.95999,14,3.59999,6,2.87999,17,22.6399,2,0.879998,11,35.7599,10,114.4,15,27.1199,7,38.3999,179.92,117.92
9-12,1.1,1,Monday,1,8,HA_T3,Treatment,Bla.Blu,male,a6808,9/09/2019,,1267.85,7.04363,0,0,45,33.7599,34,131.12,7,2.15999,10,3.67999,1,0.16,17,6.23998,0,0,4,2.87999,7,169.76,9,8.15998,3,2.07999,180,167.92
